epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5896.42,1.19898,0.66923,1.07236,0.95154,0.59356,0.63576,0.41752,1.24008,0.60992,1.10771,0.000600384,0.000600384,0.000600384
43,6035.81,1.1884,0.65536,1.07618,0.95252,0.5872,0.63249,0.41857,1.2384,0.60828,1.10417,0.000580174,0.000580174,0.000580174
44,6175.72,1.18262,0.65406,1.06394,0.94472,0.5959,0.63411,0.41778,1.25151,0.60567,1.11199,0.000559964,0.000559964,0.000559964
45,6313.98,1.1944,0.65673,1.06966,0.94642,0.5939,0.63319,0.41744,1.23839,0.60394,1.10589,0.000539754,0.000539754,0.000539754
46,6452.94,1.18137,0.64196,1.05945,0.95199,0.59266,0.63309,0.41659,1.24001,0.60714,1.10676,0.000519544,0.000519544,0.000519544
47,6593.43,1.18549,0.64847,1.06116,0.94887,0.5941,0.63796,0.42318,1.23577,0.59858,1.10471,0.000499333,0.000499333,0.000499333
48,6734.14,1.17838,0.63698,1.05751,0.94719,0.59602,0.6341,0.41737,1.24246,0.60123,1.11161,0.000479123,0.000479123,0.000479123
49,6873.17,1.17078,0.63216,1.05759,0.94296,0.59451,0.6337,0.41923,1.23938,0.60152,1.10646,0.000458913,0.000458913,0.000458913
50,7015.15,1.16145,0.6321,1.06069,0.94913,0.59155,0.63655,0.42159,1.24072,0.59876,1.10604,0.000438703,0.000438703,0.000438703
51,7155.53,1.16101,0.6328,1.0531,0.6492,0.60072,0.63424,0.42105,1.23237,0.59649,1.10227,0.000418493,0.000418493,0.000418493
52,7295.48,1.16684,0.63277,1.05565,0.94545,0.59353,0.63573,0.42195,1.24105,0.59505,1.10683,0.000398283,0.000398283,0.000398283
53,7438.56,1.15971,0.62233,1.05426,0.94901,0.59334,0.63778,0.42293,1.23012,0.59269,1.10199,0.000378073,0.000378073,0.000378073
54,7578.4,1.14969,0.61459,1.05,0.95185,0.59579,0.6399,0.42562,1.22704,0.58622,1.09883,0.000357862,0.000357862,0.000357862
55,7719.31,1.15292,0.61336,1.05365,0.95197,0.59402,0.63541,0.42102,1.23017,0.59193,1.10125,0.000337652,0.000337652,0.000337652
56,7860.44,1.1513,0.61463,1.049,0.95556,0.58875,0.635,0.42167,1.22651,0.59161,1.10053,0.000317442,0.000317442,0.000317442
57,7997.73,1.14439,0.60844,1.04371,0.955,0.58784,0.63385,0.42128,1.23443,0.59046,1.10425,0.000297232,0.000297232,0.000297232
58,8138.84,1.14334,0.61059,1.04063,0.62349,0.58922,0.63488,0.42229,1.22872,0.58475,1.10052,0.000277022,0.000277022,0.000277022
59,8281.86,1.13228,0.60371,1.0391,0.95414,0.59011,0.63411,0.42303,1.22697,0.58209,1.09895,0.000256812,0.000256812,0.000256812
60,8419.4,1.13472,0.60068,1.04286,0.63922,0.60612,0.63515,0.42332,1.22305,0.58209,1.09773,0.000236602,0.000236602,0.000236602
61,8562.96,1.13498,0.53378,1.05223,0.62312,0.60251,0.63364,0.42114,1.22605,0.58574,1.09897,0.000216391,0.000216391,0.000216391
62,8701.19,1.1267,0.52249,1.04507,0.61984,0.59338,0.6365,0.4244,1.22021,0.58152,1.09557,0.000196181,0.000196181,0.000196181
63,8841.5,1.12186,0.51898,1.04604,0.61394,0.59562,0.63624,0.424,1.2228,0.58373,1.09553,0.000175971,0.000175971,0.000175971
64,8979.49,1.11919,0.51793,1.04575,0.61346,0.5983,0.63369,0.42287,1.22012,0.58288,1.09714,0.000155761,0.000155761,0.000155761
65,9117.13,1.11289,0.51883,1.04674,0.61776,0.59535,0.63271,0.42361,1.22121,0.58507,1.09753,0.000135551,0.000135551,0.000135551
66,9257.84,1.11409,0.51229,1.03964,0.62069,0.59095,0.63261,0.42237,1.22219,0.58384,1.09665,0.000115341,0.000115341,0.000115341
67,9395,1.10524,0.50649,1.02991,0.61726,0.59524,0.63323,0.42361,1.2196,0.58467,1.09539,9.51306e-05,9.51306e-05,9.51306e-05
68,9532.98,1.10451,0.5023,1.03995,0.62028,0.59195,0.63298,0.42374,1.22102,0.58215,1.0962,7.49204e-05,7.49204e-05,7.49204e-05
69,9672.27,1.10045,0.50076,1.03228,0.61759,0.59586,0.63262,0.42387,1.21767,0.5821,1.0955,5.47103e-05,5.47103e-05,5.47103e-05
70,9808.04,1.09538,0.49734,1.02774,0.61729,0.59553,0.63298,0.42412,1.21774,0.58426,1.09518,3.45001e-05,3.45001e-05,3.45001e-05
